,Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
2697,Technology,Expert,Flexible,High School,Extrovert,Logical,High,Fluent,Collaborative,Exceptional,Data Scientist
2698,Art,,Flexible,High School,Introvert,Analytical,,Average,Visionary,Very High,NLP Engineer
2699,Art,Expert,Remote,PhD,Leader,Practical,Medium,Average,Strong,Exceptional,Site Reliability Engineer
2700,Technology,Expert,Team,PhD,Doer,Intuitive,Medium,Fluent,,Very High,Web Developer
2701,Art,Expert,Flexible,Bachelors,Introvert,Analytical,High,Poor,Strong,Very High,DevOps Engineer
2702,Medicine,Advanced,Flexible,Diploma,Thinker,Logical,Low,Outstanding,Visionary,Low,Bioinformatics Scientist
2703,Medicine,Intermediate,Flexible,Masters,Extrovert,Intuitive,High,Poor,Moderate,Exceptional,Site Reliability Engineer
2704,Business,Beginner,Solo,PhD,Leader,Logical,Medium,Poor,Strong,Low,Research Scientist
2705,Art,Beginner,Office,High School,Thinker,Analytical,,Average,,Very High,Virtual Reality Developer
2706,Art,Expert,Office,Bachelors,Extrovert,Intuitive,,Average,Visionary,Low,Business Analyst
2707,Medicine,,Office,Masters,Doer,Practical,Very High,Poor,Moderate,Exceptional,Solutions Architect
2708,Art,Beginner,Flexible,Masters,Doer,Analytical,Low,Poor,Strong,Low,Deep Learning Engineer
2709,Art,Beginner,Flexible,Masters,Doer,Creative,Low,Excellent,Moderate,Exceptional,Web Developer
2710,Art,Advanced,Office,Bachelors,Doer,Practical,,Fluent,Collaborative,Medium,AI Researcher
2711,Medicine,Advanced,Team,High School,Extrovert,Practical,,Average,,Very High,Research Scientist
2712,Business,,Office,High School,Thinker,Analytical,,Excellent,Strong,High,System Architect
2713,Business,Advanced,Flexible,Bachelors,Extrovert,Intuitive,Medium,Poor,Visionary,Medium,Database Administrator
2714,Art,Beginner,Flexible,Diploma,Thinker,Logical,Medium,Fluent,Moderate,Low,Hardware Engineer
2715,Technology,,Remote,High School,Introvert,Intuitive,,Fluent,,Very High,QA Engineer
2716,Medicine,Advanced,Remote,Bachelors,Extrovert,Creative,Very High,Outstanding,Collaborative,Exceptional,Game Developer
2717,Technology,Expert,Office,PhD,Leader,Practical,,Fluent,Strong,Medium,Cloud Architect
2718,Science,Intermediate,Flexible,Diploma,Thinker,Creative,Low,Average,Moderate,High,Software Engineer
2719,Medicine,Intermediate,Team,Masters,Extrovert,Logical,High,Fluent,Moderate,Exceptional,QA Engineer
2720,Art,Expert,Solo,Masters,Extrovert,Creative,Very High,Fluent,Collaborative,Very High,AI Researcher
2721,Technology,Expert,Solo,PhD,Doer,Creative,Very High,Fluent,Strong,Low,Deep Learning Engineer
2722,Art,Advanced,Flexible,Bachelors,Introvert,Creative,High,Outstanding,Visionary,High,Cybersecurity Analyst
2723,Business,Beginner,Team,PhD,Thinker,Practical,Very High,Outstanding,Visionary,High,Embedded Systems Engineer
2724,Business,,Remote,Diploma,Doer,Creative,High,Outstanding,Strong,Medium,Data Scientist
2725,Business,Advanced,Office,PhD,Leader,Logical,Low,Fluent,Visionary,Low,Blockchain Developer
2726,Science,Beginner,Flexible,PhD,Extrovert,Logical,Very High,Fluent,Strong,Medium,DevOps Engineer
2727,Business,Expert,Remote,Bachelors,Introvert,Practical,Low,Outstanding,Collaborative,Medium,System Architect
2728,Art,Advanced,Flexible,Diploma,Thinker,Logical,Very High,Fluent,Moderate,Very High,Product Manager
2729,Business,Expert,Office,High School,Doer,Creative,,Outstanding,Strong,Medium,Site Reliability Engineer
2730,Medicine,Intermediate,Flexible,Masters,Leader,Practical,High,Poor,Visionary,Low,Database Administrator
2731,Art,Advanced,Team,PhD,Introvert,Analytical,Medium,Average,,Medium,IoT Specialist
2732,Art,Advanced,Remote,High School,Leader,Practical,,Poor,Collaborative,Very High,Hardware Engineer
2733,Medicine,Beginner,Flexible,PhD,Leader,Practical,Medium,Average,Moderate,Low,Cybersecurity Analyst
2734,Art,,Office,PhD,Introvert,Intuitive,,Outstanding,,Low,NLP Engineer
2735,Science,,Flexible,Diploma,Doer,Practical,Medium,Outstanding,Moderate,High,Game Developer
2736,Medicine,Advanced,Team,PhD,Thinker,Intuitive,Low,Fluent,,Low,Business Analyst
2737,Art,Advanced,Team,High School,Thinker,Creative,Medium,Outstanding,Strong,Medium,QA Engineer
2738,Business,Beginner,Remote,Diploma,Thinker,Analytical,High,Average,Moderate,Very High,Blockchain Developer
2739,Business,Beginner,Office,Masters,Leader,Logical,Low,Excellent,Visionary,Low,Virtual Reality Developer
2740,Science,Expert,Solo,Diploma,Leader,Practical,Medium,Outstanding,Collaborative,Medium,Bioinformatics Scientist
2741,Medicine,,Office,Bachelors,Thinker,Creative,Low,Excellent,Collaborative,Exceptional,Network Engineer
2742,Technology,Expert,Flexible,PhD,Doer,Creative,Low,Outstanding,,High,ML Engineer
2743,Medicine,Intermediate,Remote,Masters,Extrovert,Practical,Medium,Poor,Strong,Exceptional,Virtual Reality Developer
2744,Medicine,Expert,Team,High School,Doer,Intuitive,Low,Outstanding,,Exceptional,Embedded Systems Engineer
2745,Science,Intermediate,Flexible,Bachelors,Leader,Analytical,Low,Excellent,Collaborative,Medium,Site Reliability Engineer
2746,Business,Intermediate,Office,Masters,Doer,Analytical,Medium,Excellent,Strong,High,UI/UX Designer
2747,Science,Advanced,Office,Bachelors,Leader,Creative,High,Poor,Strong,Low,Database Administrator
2748,Medicine,Expert,Team,High School,Extrovert,Logical,High,Poor,Moderate,Low,Deep Learning Engineer
2749,Technology,Advanced,Remote,High School,Introvert,Intuitive,Very High,Poor,Strong,Very High,Site Reliability Engineer
2750,Medicine,Expert,Solo,PhD,Extrovert,Creative,,Outstanding,Collaborative,High,Site Reliability Engineer
2751,Science,Advanced,Solo,Masters,Doer,Intuitive,Medium,Average,,Exceptional,Robotics Engineer
2752,Science,Intermediate,Solo,Diploma,Thinker,Logical,,Fluent,Visionary,Exceptional,UI/UX Designer
2753,Technology,Beginner,Flexible,Diploma,Thinker,Analytical,High,Poor,Strong,Low,QA Engineer
2754,Art,,Office,Diploma,Leader,Logical,,Fluent,,Medium,Bioinformatics Scientist
2755,Art,Expert,Flexible,PhD,Thinker,Analytical,Low,Outstanding,Collaborative,High,Blockchain Developer
2756,Art,Advanced,Office,High School,Introvert,Logical,,Excellent,Moderate,High,Hardware Engineer
2757,Business,Expert,Team,PhD,Introvert,Practical,,Poor,Visionary,Medium,Hardware Engineer
2758,Art,Expert,Office,Diploma,Thinker,Analytical,High,Poor,Moderate,Very High,Software Engineer
2759,Medicine,,Team,Diploma,Thinker,Intuitive,Medium,Excellent,Moderate,Exceptional,DevOps Engineer
2760,Science,Advanced,Solo,Diploma,Doer,Analytical,Very High,Outstanding,Strong,Medium,Deep Learning Engineer
2761,Business,Advanced,Team,Bachelors,Leader,Practical,Low,Fluent,Visionary,Very High,Speech Recognition Specialist
2762,Technology,Expert,Office,Bachelors,Thinker,Creative,Low,Excellent,Strong,Very High,Data Engineer
2763,Medicine,Beginner,Remote,Masters,Leader,Intuitive,,Outstanding,Strong,Low,Site Reliability Engineer
2764,Science,Advanced,Solo,Masters,Extrovert,Analytical,Medium,Poor,Moderate,Low,Blockchain Developer
2765,Art,Beginner,Team,Bachelors,Doer,Creative,Very High,Excellent,Strong,High,Algorithm Engineer
2766,Medicine,Beginner,Remote,Bachelors,Introvert,Intuitive,High,Outstanding,Collaborative,High,Cloud Architect
2767,Medicine,Expert,Flexible,Bachelors,Leader,Creative,High,Excellent,,Exceptional,ML Engineer
2768,Technology,Intermediate,Team,Diploma,Introvert,Analytical,Low,Average,,High,IoT Specialist
2769,Medicine,,Remote,High School,Introvert,Creative,Very High,Average,Collaborative,Low,Blockchain Developer
2770,Art,Intermediate,Team,Bachelors,Thinker,Analytical,High,Average,Strong,Medium,Robotics Engineer
2771,Science,Expert,Solo,Bachelors,Introvert,Logical,Medium,Fluent,Visionary,Medium,Software Engineer
2772,Technology,Advanced,Solo,PhD,Thinker,Practical,Very High,Poor,Visionary,High,Hardware Engineer
2773,Art,Beginner,Solo,PhD,Thinker,Analytical,Very High,Poor,Visionary,Exceptional,Cloud Architect
2774,Art,,Team,Masters,Doer,Analytical,High,Outstanding,Visionary,Exceptional,Embedded Systems Engineer
2775,Technology,Intermediate,Solo,Diploma,Leader,Analytical,High,Outstanding,Collaborative,Medium,Cloud Architect
2776,Art,,Remote,Bachelors,Thinker,Analytical,Low,Excellent,Strong,Low,Software Engineer
2777,Technology,,Flexible,Masters,Doer,Intuitive,Very High,Fluent,Visionary,Medium,Blockchain Developer
2778,Science,Advanced,Remote,PhD,Doer,Analytical,Low,Fluent,,Low,Network Engineer
2779,Art,Beginner,Team,Bachelors,Leader,Creative,,Fluent,Collaborative,High,Database Administrator
2780,Medicine,Beginner,Flexible,PhD,Leader,Intuitive,,Fluent,Collaborative,Low,Solutions Architect
2781,Science,Advanced,Remote,High School,Leader,Logical,Very High,Average,Visionary,Exceptional,ML Engineer
2782,Business,Beginner,Office,Masters,Thinker,Practical,,Outstanding,Strong,Low,AI Researcher
2783,Art,Expert,Solo,Masters,Extrovert,Logical,High,Outstanding,Strong,Low,Full Stack Developer
2784,Medicine,Intermediate,Remote,Diploma,Leader,Creative,,Average,Strong,Medium,Mobile App Developer
2785,Technology,Expert,Office,High School,Leader,Creative,High,Poor,,Medium,Data Scientist
2786,Science,Expert,Office,Diploma,Doer,Analytical,,Average,Moderate,Very High,Network Engineer
2787,Science,Intermediate,Team,High School,Introvert,Practical,Very High,Average,Collaborative,Exceptional,Cybersecurity Analyst
2788,Science,Advanced,Office,High School,Thinker,Logical,Very High,Poor,Moderate,Very High,Full Stack Developer
2789,Medicine,,Office,High School,Introvert,Creative,,Average,,Medium,Computer Vision Engineer
2790,Medicine,,Flexible,Bachelors,Thinker,Intuitive,Low,Fluent,Visionary,High,Mobile App Developer
2791,Technology,Intermediate,Solo,Bachelors,Extrovert,Intuitive,,Poor,Strong,Low,Mobile App Developer
2792,Technology,Advanced,Office,Masters,Extrovert,Intuitive,Low,Outstanding,Visionary,Medium,Augmented Reality Developer
2793,Science,,Flexible,High School,Introvert,Logical,High,Fluent,Collaborative,High,Game Developer
2794,Technology,Expert,Flexible,Masters,Leader,Intuitive,Medium,Outstanding,Strong,High,Data Analyst
2795,Business,Intermediate,Office,High School,Introvert,Analytical,Medium,Average,Moderate,High,AI Ethics Researcher
2796,Science,,Remote,Diploma,Leader,Practical,,Excellent,Visionary,High,Game Developer
2797,Technology,Advanced,Solo,Diploma,Extrovert,Creative,High,Poor,Strong,Low,NLP Engineer
2798,Art,,Solo,Masters,Leader,Creative,Medium,Fluent,Strong,Exceptional,Virtual Reality Developer
2799,Business,Advanced,Remote,Bachelors,Leader,Practical,High,Poor,,Medium,Deep Learning Engineer
2800,Technology,Advanced,Office,PhD,Leader,Practical,,Excellent,Collaborative,Exceptional,IoT Specialist
2801,Art,Expert,Office,PhD,Extrovert,Creative,Very High,Excellent,Collaborative,High,Virtual Reality Developer
2802,Business,Advanced,Flexible,High School,Leader,Practical,,Poor,Moderate,Exceptional,Site Reliability Engineer
2803,Business,Advanced,Team,Bachelors,Doer,Logical,Very High,Average,Collaborative,Low,Speech Recognition Specialist
2804,Art,Beginner,Solo,PhD,Thinker,Analytical,Medium,Outstanding,Moderate,Low,Site Reliability Engineer
2805,Business,,Team,Diploma,Leader,Logical,,Fluent,Strong,Low,Algorithm Engineer
2806,Technology,Intermediate,Office,Masters,Introvert,Creative,,Excellent,Moderate,Medium,Data Engineer
2807,Business,,Remote,PhD,Introvert,Logical,High,Poor,Visionary,Medium,ML Engineer
2808,Art,Beginner,Flexible,PhD,Thinker,Creative,Very High,Poor,Strong,High,Site Reliability Engineer
2809,Technology,Beginner,Flexible,PhD,Leader,Creative,High,Fluent,Strong,Exceptional,Network Engineer
2810,Art,Beginner,Solo,PhD,Leader,Logical,Very High,Average,Strong,Very High,Software Engineer
2811,Science,Expert,Remote,High School,Leader,Logical,Low,Average,Collaborative,Very High,Virtual Reality Developer
2812,Technology,Advanced,Team,Diploma,Thinker,Practical,Very High,Average,,Very High,Augmented Reality Developer
2813,Science,Advanced,Office,Diploma,Doer,Intuitive,Medium,Fluent,,High,Database Administrator
2814,Technology,Intermediate,Office,PhD,Doer,Intuitive,Low,Poor,Visionary,Exceptional,ML Engineer
2815,Medicine,,Office,High School,Introvert,Intuitive,Medium,Average,Moderate,Low,Augmented Reality Developer
2816,Science,Expert,Remote,PhD,Leader,Logical,Medium,Fluent,Visionary,High,System Architect
2817,Medicine,Expert,Team,PhD,Leader,Logical,Low,Excellent,,High,Web Developer
2818,Science,Beginner,Team,Diploma,Leader,Logical,High,Poor,,Medium,Financial Analyst
2819,Technology,,Team,High School,Leader,Practical,Medium,Excellent,Visionary,High,DevOps Engineer
2820,Science,Intermediate,Team,Diploma,Extrovert,Practical,,Average,Strong,High,Cybersecurity Analyst
2821,Science,Intermediate,Team,High School,Introvert,Logical,Medium,Excellent,Collaborative,Very High,Embedded Systems Engineer
2822,Science,Beginner,Office,High School,Doer,Creative,Medium,Outstanding,Collaborative,High,Data Scientist
2823,Business,Advanced,Flexible,PhD,Extrovert,Intuitive,,Average,Collaborative,High,Computer Vision Engineer
2824,Medicine,Intermediate,Office,PhD,Leader,Logical,Low,Excellent,Visionary,Low,Cloud Architect
2825,Technology,,Office,Diploma,Doer,Creative,Medium,Poor,Collaborative,High,Full Stack Developer
2826,Technology,Intermediate,Remote,PhD,Introvert,Intuitive,Low,Average,Visionary,High,Financial Analyst
2827,Science,,Team,Masters,Introvert,Creative,Medium,Outstanding,Collaborative,Very High,Network Engineer
2828,Art,Intermediate,Solo,Bachelors,Leader,Logical,Low,Outstanding,Visionary,High,QA Engineer
2829,Business,Advanced,Team,Diploma,Extrovert,Intuitive,Low,Poor,Visionary,Medium,Deep Learning Engineer
2830,Art,Beginner,Office,Masters,Doer,Analytical,,Excellent,Strong,High,QA Engineer
2831,Science,,Office,High School,Introvert,Creative,Very High,Fluent,Strong,High,Computer Vision Engineer
2832,Medicine,,Solo,PhD,Extrovert,Analytical,Low,Fluent,Moderate,Very High,Solutions Architect
2833,Science,Advanced,Team,Masters,Introvert,Practical,Low,Outstanding,Visionary,Low,Computer Vision Engineer
2834,Art,Beginner,Flexible,High School,Introvert,Practical,,Average,Collaborative,Very High,UI/UX Designer
2835,Science,Beginner,Office,PhD,Thinker,Analytical,Low,Average,Collaborative,High,Data Scientist
2836,Science,Intermediate,Remote,Diploma,Doer,Logical,Medium,Excellent,Strong,Exceptional,Cloud Architect
2837,Business,Beginner,Flexible,Bachelors,Introvert,Intuitive,High,Fluent,Collaborative,Exceptional,Deep Learning Engineer
2838,Business,Intermediate,Team,Masters,Leader,Analytical,,Excellent,Strong,High,UI/UX Designer
2839,Technology,Beginner,Flexible,PhD,Extrovert,Intuitive,,Excellent,Visionary,Exceptional,Algorithm Engineer
2840,Medicine,Beginner,Flexible,Masters,Thinker,Analytical,,Outstanding,Collaborative,High,Computer Vision Engineer
2841,Art,Intermediate,Office,Bachelors,Introvert,Logical,High,Poor,Visionary,Medium,ML Engineer
2842,Business,Expert,Flexible,Diploma,Extrovert,Creative,High,Outstanding,Collaborative,Very High,QA Engineer
2843,Science,Intermediate,Flexible,PhD,Leader,Analytical,Medium,Excellent,,Low,Virtual Reality Developer
2844,Medicine,Beginner,Office,Diploma,Doer,Analytical,Low,Average,Moderate,Medium,Speech Recognition Specialist
2845,Science,Advanced,Flexible,Bachelors,Extrovert,Analytical,Very High,Poor,Strong,Very High,Cloud Architect
2846,Art,Beginner,Team,PhD,Doer,Intuitive,Very High,Average,,Low,Virtual Reality Developer
2847,Technology,Advanced,Office,High School,Extrovert,Logical,Medium,Outstanding,Visionary,Very High,IoT Specialist
2848,Technology,Advanced,Flexible,Bachelors,Introvert,Logical,High,Average,Strong,Exceptional,Solutions Architect
2849,Business,Beginner,Solo,PhD,Leader,Logical,,Excellent,Moderate,Low,Research Scientist
2850,Business,Beginner,Solo,PhD,Doer,Intuitive,High,Excellent,Collaborative,High,Hardware Engineer
2851,Medicine,Intermediate,Office,High School,Extrovert,Analytical,Low,Excellent,Collaborative,High,System Architect
2852,Art,Advanced,Remote,Masters,Leader,Practical,High,Excellent,Strong,High,Hardware Engineer
2853,Science,Advanced,Office,Bachelors,Doer,Intuitive,Low,Poor,Collaborative,High,Database Administrator
2854,Medicine,,Team,PhD,Leader,Logical,High,Excellent,Moderate,Low,Hardware Engineer
2855,Business,Beginner,Office,High School,Introvert,Logical,Medium,Fluent,Strong,Exceptional,Software Engineer
2856,Technology,Expert,Flexible,Masters,Thinker,Logical,Medium,Excellent,Visionary,Very High,Computer Vision Engineer
2857,Business,Beginner,Remote,Diploma,Extrovert,Logical,Low,Fluent,Collaborative,Medium,Data Engineer
2858,Medicine,,Solo,Masters,Thinker,Analytical,High,Poor,Strong,Medium,AI Ethics Researcher
2859,Medicine,Intermediate,Office,Bachelors,Leader,Creative,,Poor,Strong,High,Robotics Engineer
2860,Medicine,Expert,Office,Masters,Leader,Logical,,Poor,Visionary,High,AI Researcher
2861,Medicine,Beginner,Solo,Bachelors,Introvert,Intuitive,Very High,Average,,High,Technical Writer
2862,Technology,Expert,Remote,PhD,Doer,Creative,Low,Excellent,Collaborative,Medium,Product Manager
2863,Art,Beginner,Remote,PhD,Leader,Analytical,Low,Average,Collaborative,High,Software Engineer
2864,Business,Beginner,Office,PhD,Doer,Creative,High,Fluent,Strong,Low,Hardware Engineer
2865,Business,Advanced,Office,Diploma,Thinker,Intuitive,Very High,Average,Visionary,Medium,Business Analyst
2866,Business,Intermediate,Flexible,High School,Introvert,Creative,High,Fluent,Visionary,Medium,Solutions Architect
2867,Art,Advanced,Office,PhD,Thinker,Intuitive,High,Poor,Strong,Medium,Database Administrator
2868,Art,Intermediate,Flexible,PhD,Thinker,Intuitive,High,Excellent,Moderate,Exceptional,Bioinformatics Scientist
2869,Science,,Solo,High School,Introvert,Logical,Medium,Average,,Low,Network Engineer
2870,Art,Advanced,Solo,Bachelors,Introvert,Analytical,High,Average,Visionary,Low,Deep Learning Engineer
2871,Technology,Beginner,Remote,Diploma,Introvert,Intuitive,,Excellent,Collaborative,High,Full Stack Developer
2872,Technology,,Solo,Diploma,Introvert,Creative,Very High,Average,,Very High,ML Engineer
2873,Science,Expert,Team,Bachelors,Extrovert,Intuitive,High,Average,,Very High,Technical Writer
2874,Business,Advanced,Remote,Bachelors,Doer,Intuitive,,Fluent,Visionary,Medium,System Architect
2875,Technology,Expert,Flexible,Masters,Extrovert,Intuitive,Very High,Excellent,Collaborative,Low,Financial Analyst
2876,Business,,Solo,High School,Introvert,Logical,Low,Average,Collaborative,Low,Research Scientist
2877,Science,Intermediate,Office,Bachelors,Leader,Creative,,Poor,Strong,High,Automation Engineer
2878,Art,Beginner,Solo,Masters,Extrovert,Intuitive,High,Fluent,Moderate,Medium,Computer Vision Engineer
2879,Art,,Office,High School,Introvert,Creative,High,Poor,Visionary,Very High,Data Analyst
2880,Art,,Flexible,Diploma,Thinker,Intuitive,High,Poor,Visionary,Exceptional,UI/UX Designer
2881,Art,Intermediate,Team,PhD,Introvert,Intuitive,Very High,Fluent,,Exceptional,Business Analyst
2882,Science,,Office,Masters,Leader,Creative,Low,Excellent,Strong,Very High,Mobile App Developer
2883,Business,Intermediate,Team,Diploma,Leader,Practical,,Average,,High,System Architect
2884,Technology,,Solo,Masters,Introvert,Logical,High,Excellent,Strong,High,Research Scientist
2885,Science,,Solo,Masters,Extrovert,Logical,Very High,Average,Strong,Low,Database Administrator
2886,Technology,Advanced,Flexible,PhD,Doer,Analytical,Very High,Outstanding,Strong,Exceptional,Embedded Systems Engineer
2887,Medicine,Advanced,Office,PhD,Introvert,Analytical,,Average,Moderate,Low,System Architect
2888,Science,Intermediate,Flexible,PhD,Introvert,Creative,High,Fluent,Strong,Medium,Deep Learning Engineer
2889,Science,Intermediate,Flexible,Diploma,Thinker,Intuitive,,Poor,Visionary,High,Cybersecurity Analyst
2890,Medicine,Intermediate,Flexible,Diploma,Thinker,Practical,Low,Poor,Visionary,Very High,Site Reliability Engineer
2891,Medicine,Expert,Office,Masters,Doer,Logical,Low,Poor,Collaborative,Low,Automation Engineer
2892,Technology,,Office,High School,Leader,Creative,Low,Fluent,Strong,Exceptional,Robotics Engineer
2893,Technology,Advanced,Office,Bachelors,Introvert,Analytical,Very High,Excellent,Visionary,High,Data Analyst
2894,Science,,Solo,Diploma,Introvert,Creative,Low,Poor,,Low,Technical Writer
2895,Medicine,Beginner,Office,High School,Leader,Practical,Low,Outstanding,Strong,Very High,Cybersecurity Analyst
2896,Art,Intermediate,Office,PhD,Introvert,Logical,High,Outstanding,Visionary,Very High,Speech Recognition Specialist
2897,Art,Beginner,Remote,High School,Extrovert,Practical,,Excellent,Collaborative,Low,Augmented Reality Developer
2898,Business,,Flexible,PhD,Leader,Practical,Medium,Fluent,Collaborative,Very High,Product Manager
2899,Art,Intermediate,Flexible,Masters,Doer,Intuitive,,Poor,Collaborative,Exceptional,Technical Writer
2900,Art,Beginner,Remote,Masters,Thinker,Analytical,,Average,Strong,Very High,IoT Specialist
2901,Science,Beginner,Solo,Bachelors,Doer,Creative,Low,Excellent,Visionary,Exceptional,Research Scientist
2902,Business,Beginner,Team,Bachelors,Doer,Analytical,High,Outstanding,Collaborative,Low,Network Engineer
2903,Medicine,Expert,Team,PhD,Thinker,Logical,Low,Outstanding,,Exceptional,Mobile App Developer
2904,Business,Intermediate,Remote,High School,Doer,Logical,Low,Fluent,Strong,Very High,Database Administrator
2905,Art,Expert,Flexible,Bachelors,Introvert,Creative,High,Fluent,,High,Full Stack Developer
2906,Science,,Flexible,PhD,Thinker,Logical,Medium,Excellent,Visionary,Medium,Business Analyst
2907,Medicine,,Remote,High School,Doer,Practical,Medium,Outstanding,Strong,Exceptional,Solutions Architect
2908,Science,,Flexible,PhD,Thinker,Practical,Medium,Outstanding,Moderate,Very High,Mobile App Developer
2909,Technology,Intermediate,Remote,Bachelors,Leader,Analytical,Very High,Excellent,Visionary,Exceptional,Cloud Architect
2910,Art,Advanced,Team,Bachelors,Extrovert,Practical,Medium,Poor,Collaborative,Medium,AI Researcher
2911,Science,Beginner,Flexible,High School,Introvert,Logical,Low,Fluent,Visionary,Medium,Augmented Reality Developer
2912,Art,Expert,Office,Bachelors,Extrovert,Intuitive,,Outstanding,Collaborative,Exceptional,Site Reliability Engineer
2913,Art,Expert,Office,Diploma,Doer,Intuitive,Very High,Average,Moderate,Very High,Software Engineer
2914,Business,,Solo,Masters,Doer,Intuitive,Low,Fluent,Strong,High,Financial Analyst
2915,Science,Expert,Flexible,High School,Extrovert,Practical,Medium,Average,,Low,Data Scientist
2916,Science,Expert,Flexible,PhD,Thinker,Practical,High,Excellent,,High,DevOps Engineer
2917,Medicine,Advanced,Solo,High School,Extrovert,Practical,Very High,Fluent,Moderate,High,Algorithm Engineer
2918,Art,Beginner,Office,Bachelors,Doer,Practical,,Average,Strong,Medium,IoT Specialist
2919,Art,Advanced,Flexible,Masters,Leader,Analytical,High,Average,Strong,Low,QA Engineer
2920,Science,,Remote,High School,Leader,Logical,Low,Excellent,Strong,High,Mobile App Developer
2921,Medicine,Advanced,Office,Diploma,Extrovert,Logical,Low,Poor,Visionary,Medium,DevOps Engineer
2922,Science,Advanced,Team,Bachelors,Leader,Creative,Low,Excellent,Visionary,Very High,QA Engineer
2923,Medicine,Intermediate,Team,PhD,Leader,Logical,Medium,Fluent,Collaborative,Low,Game Developer
2924,Art,Advanced,Solo,Diploma,Thinker,Practical,High,Fluent,Collaborative,Exceptional,Robotics Engineer
2925,Science,,Office,PhD,Introvert,Logical,Very High,Fluent,Collaborative,Exceptional,IoT Specialist
2926,Science,,Team,PhD,Introvert,Practical,,Excellent,Collaborative,High,Software Engineer
2927,Medicine,Advanced,Office,Diploma,Doer,Practical,Low,Excellent,Collaborative,High,Cloud Architect
2928,Technology,Expert,Remote,Bachelors,Doer,Intuitive,Medium,Poor,Collaborative,Very High,DevOps Engineer
2929,Medicine,,Flexible,PhD,Extrovert,Creative,,Average,Visionary,High,Financial Analyst
2930,Art,,Solo,Diploma,Doer,Creative,Low,Average,Moderate,Low,Network Engineer
2931,Business,Expert,Flexible,Diploma,Leader,Logical,Very High,Outstanding,Collaborative,High,Data Engineer
2932,Technology,Beginner,Flexible,High School,Leader,Analytical,,Poor,Visionary,Medium,Hardware Engineer
2933,Technology,Intermediate,Team,High School,Thinker,Intuitive,,Poor,,Low,Network Engineer
2934,Medicine,,Team,High School,Thinker,Creative,Medium,Excellent,Moderate,Low,Algorithm Engineer
2935,Art,Advanced,Solo,Diploma,Thinker,Analytical,Low,Fluent,Visionary,Very High,Solutions Architect
2936,Science,Expert,Remote,Diploma,Introvert,Practical,High,Fluent,Moderate,Exceptional,ML Engineer
2937,Technology,Intermediate,Remote,High School,Extrovert,Analytical,,Excellent,Moderate,High,Business Analyst
2938,Technology,Advanced,Team,Masters,Doer,Creative,Low,Outstanding,,Medium,Computer Vision Engineer
2939,Technology,Expert,Team,High School,Leader,Logical,Very High,Excellent,Strong,Medium,Data Engineer
2940,Business,Intermediate,Office,High School,Extrovert,Practical,Very High,Fluent,Moderate,Low,Deep Learning Engineer
2941,Science,Advanced,Remote,PhD,Introvert,Logical,High,Outstanding,Moderate,Very High,Data Engineer
2942,Technology,,Office,Diploma,Leader,Analytical,,Outstanding,Visionary,Exceptional,Mobile App Developer
2943,Medicine,Expert,Solo,Bachelors,Introvert,Practical,Low,Poor,Strong,Very High,Software Engineer
2944,Medicine,Intermediate,Office,Bachelors,Introvert,Practical,Low,Poor,Moderate,Medium,Embedded Systems Engineer
2945,Art,Intermediate,Office,PhD,Doer,Creative,High,Poor,,High,Product Manager
2946,Business,,Solo,Diploma,Introvert,Creative,Very High,Outstanding,Moderate,Exceptional,Algorithm Engineer
2947,Medicine,,Team,Diploma,Introvert,Creative,Very High,Fluent,Strong,High,Game Developer
2948,Art,Expert,Flexible,Masters,Doer,Creative,Medium,Average,Visionary,Low,Software Engineer
2949,Technology,Beginner,Remote,Bachelors,Thinker,Practical,Very High,Excellent,Visionary,Low,QA Engineer
2950,Art,Intermediate,Office,Masters,Leader,Logical,Low,Outstanding,Collaborative,Very High,Cloud Architect
2951,Technology,Beginner,Team,PhD,Thinker,Practical,Medium,Excellent,Strong,Low,UI/UX Designer
2952,Medicine,Intermediate,Flexible,Masters,Extrovert,Analytical,Very High,Average,Visionary,Exceptional,Data Engineer
2953,Technology,Beginner,Office,Bachelors,Extrovert,Logical,Low,Poor,Visionary,Very High,Site Reliability Engineer
2954,Business,Intermediate,Remote,Masters,Doer,Practical,,Outstanding,Strong,Low,Full Stack Developer
2955,Science,,Team,PhD,Extrovert,Creative,Low,Excellent,Strong,High,Cybersecurity Analyst
2956,Business,Intermediate,Remote,High School,Introvert,Practical,High,Average,Strong,High,Solutions Architect
2957,Science,,Flexible,High School,Introvert,Analytical,Medium,Excellent,Moderate,Very High,DevOps Engineer
2958,Technology,Intermediate,Remote,Masters,Thinker,Practical,,Average,Moderate,High,Deep Learning Engineer
2959,Science,Expert,Flexible,Diploma,Doer,Practical,,Average,Visionary,High,Bioinformatics Scientist
2960,Science,Intermediate,Solo,Diploma,Leader,Practical,Medium,Poor,Collaborative,Exceptional,Algorithm Engineer
2961,Medicine,,Flexible,Diploma,Doer,Logical,High,Poor,Visionary,High,Game Developer
2962,Technology,Expert,Flexible,Diploma,Doer,Analytical,Very High,Poor,Strong,Very High,Augmented Reality Developer
2963,Medicine,Advanced,Solo,High School,Thinker,Analytical,Medium,Excellent,Collaborative,Medium,Research Scientist
