Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
Medicine,Advanced,Solo,Masters,Doer,Analytical,None,Average,Moderate,Exceptional,Software Engineer
Art,Advanced,Solo,PhD,Leader,Intuitive,Low,Excellent,Moderate,Low,Graphic Designer
Medicine,Beginner,Team,High School,Doer,Creative,High,Outstanding,Visionary,Medium,Software Engineer
Science,Beginner,Team,Masters,Leader,Practical,None,Excellent,Moderate,Low,Doctor
Technology,Intermediate,Remote,PhD,Extrovert,Practical,Medium,Average,None,Exceptional,Doctor
Science,Advanced,Remote,High School,Leader,Logical,Low,Fluent,Moderate,Low,Marketing Manager
Medicine,None,Solo,Diploma,Introvert,Intuitive,High,Outstanding,Collaborative,Exceptional,Software Engineer
Technology,Beginner,Solo,Bachelors,Introvert,Logical,Medium,Fluent,Moderate,Low,Software Engineer
Technology,Expert,Solo,Diploma,Leader,Intuitive,Very High,Poor,Strong,Low,Marketing Manager
Technology,Beginner,Office,PhD,Extrovert,Intuitive,Very High,Outstanding,Strong,Low,Marketing Manager
Medicine,Advanced,Flexible,PhD,Leader,Intuitive,None,Poor,Collaborative,High,Marketing Manager
Art,Advanced,Flexible,High School,Doer,Logical,High,Outstanding,Moderate,Low,Software Engineer
Medicine,Intermediate,Remote,Masters,Introvert,Creative,Very High,Excellent,Strong,Medium,Software Engineer
Technology,Advanced,Flexible,High School,Leader,Creative,None,Excellent,Collaborative,Medium,Data Scientist
Science,Expert,Team,PhD,Leader,Logical,Very High,Excellent,Moderate,Low,Graphic Designer
Business,Beginner,Team,Diploma,Thinker,Practical,Low,Excellent,Collaborative,High,Software Engineer
Business,Intermediate,Flexible,High School,Leader,Logical,High,Outstanding,Moderate,Exceptional,Software Engineer
Medicine,None,Solo,Diploma,Thinker,Analytical,Low,Excellent,Visionary,Very High,Doctor
Technology,Expert,Office,PhD,Doer,Intuitive,High,Outstanding,Moderate,Very High,Data Scientist
Technology,Advanced,Solo,High School,Introvert,Analytical,None,Average,None,Low,Data Scientist
Science,None,Remote,Bachelors,Extrovert,Analytical,High,Fluent,None,Medium,Graphic Designer
Business,Expert,Team,High School,Thinker,Practical,High,Average,Strong,High,Data Scientist
Science,Beginner,Team,Masters,Extrovert,Creative,High,Fluent,None,Very High,Software Engineer
Technology,None,Team,Masters,Leader,Creative,High,Average,Moderate,Exceptional,Graphic Designer
Medicine,Beginner,Solo,PhD,Extrovert,Intuitive,Low,Average,None,Exceptional,Software Engineer
Medicine,Expert,Office,PhD,Leader,Creative,Medium,Outstanding,Visionary,Very High,Doctor
Science,None,Remote,High School,Thinker,Creative,Very High,Outstanding,Visionary,Exceptional,Software Engineer
Technology,Intermediate,Team,Diploma,Leader,Creative,Very High,Excellent,Visionary,Medium,Marketing Manager
Technology,None,Team,PhD,Thinker,Intuitive,Medium,Outstanding,None,Very High,Software Engineer
Science,Intermediate,Solo,Masters,Extrovert,Logical,Medium,Poor,None,Very High,Doctor
Technology,Intermediate,Solo,Masters,Thinker,Practical,High,Outstanding,Strong,Low,Marketing Manager
Science,Intermediate,Office,Bachelors,Leader,Logical,Low,Excellent,Collaborative,Very High,Data Scientist
Technology,Advanced,Office,Masters,Introvert,Practical,Medium,Average,Strong,Medium,Graphic Designer
Art,Beginner,Solo,Diploma,Leader,Intuitive,None,Fluent,Collaborative,Very High,Marketing Manager
Art,None,Remote,Diploma,Extrovert,Analytical,Low,Average,None,Very High,Data Scientist
Technology,Expert,Office,PhD,Introvert,Logical,High,Average,None,Very High,Marketing Manager
Art,Intermediate,Solo,High School,Leader,Logical,High,Average,Strong,High,Data Scientist
Technology,Intermediate,Remote,High School,Thinker,Creative,None,Outstanding,Moderate,Medium,Doctor
Medicine,Intermediate,Remote,High School,Thinker,Creative,None,Excellent,Strong,Medium,Software Engineer
Medicine,Beginner,Remote,PhD,Thinker,Creative,High,Fluent,Collaborative,High,Doctor
Technology,Advanced,Office,Masters,Extrovert,Analytical,Medium,Average,Collaborative,Low,Marketing Manager
Art,Expert,Team,Bachelors,Extrovert,Practical,Low,Poor,Moderate,Very High,Graphic Designer
Medicine,Beginner,Solo,PhD,Leader,Logical,Low,Fluent,Strong,Medium,Data Scientist
Art,Expert,Office,Bachelors,Doer,Analytical,None,Poor,Visionary,Medium,Doctor
Technology,None,Flexible,Bachelors,Doer,Creative,Low,Outstanding,Moderate,Low,Data Scientist
Science,Intermediate,Team,High School,Thinker,Intuitive,High,Poor,Strong,Medium,Data Scientist
Technology,Beginner,Team,Diploma,Leader,Creative,High,Outstanding,None,High,Marketing Manager
Science,None,Remote,Bachelors,Introvert,Analytical,Low,Poor,None,Medium,Marketing Manager
Art,Beginner,Solo,High School,Thinker,Logical,High,Outstanding,Collaborative,Very High,Data Scientist
Technology,Advanced,Flexible,Masters,Extrovert,Logical,High,Fluent,Visionary,Low,Marketing Manager
Medicine,Beginner,Team,High School,Introvert,Practical,None,Outstanding,Collaborative,Very High,Data Scientist
Business,Expert,Flexible,Bachelors,Doer,Creative,High,Outstanding,Strong,Very High,Doctor
Technology,Advanced,Flexible,PhD,Extrovert,Analytical,None,Excellent,Moderate,Low,Software Engineer
Medicine,Expert,Remote,Diploma,Introvert,Creative,None,Fluent,None,Exceptional,Software Engineer
Business,Expert,Office,Diploma,Doer,Logical,None,Poor,Visionary,Exceptional,Graphic Designer
Science,Advanced,Team,PhD,Leader,Practical,Medium,Average,Collaborative,Medium,Doctor
Technology,Expert,Remote,High School,Doer,Intuitive,None,Excellent,Moderate,Exceptional,Data Scientist
Science,Expert,Flexible,High School,Doer,Logical,None,Excellent,Collaborative,Exceptional,Graphic Designer
Science,Intermediate,Office,High School,Doer,Analytical,Medium,Fluent,Visionary,Exceptional,Software Engineer
Art,Beginner,Remote,PhD,Introvert,Analytical,Very High,Poor,Strong,Exceptional,Data Scientist
Business,None,Remote,High School,Thinker,Practical,Medium,Outstanding,Strong,Exceptional,Marketing Manager
Technology,Advanced,Remote,Diploma,Thinker,Logical,None,Outstanding,Visionary,Exceptional,Data Scientist
Medicine,Expert,Solo,Diploma,Introvert,Logical,Very High,Average,Moderate,High,Data Scientist
Art,Expert,Flexible,Diploma,Thinker,Intuitive,High,Excellent,None,Medium,Software Engineer
Art,Expert,Remote,Masters,Introvert,Creative,High,Fluent,None,Very High,Data Scientist
Science,Expert,Flexible,High School,Leader,Analytical,Very High,Average,Strong,Low,Software Engineer
Science,Beginner,Office,Bachelors,Doer,Creative,Very High,Outstanding,Visionary,Medium,Marketing Manager
Technology,Expert,Remote,PhD,Introvert,Intuitive,Low,Excellent,Collaborative,Exceptional,Data Scientist
Business,Intermediate,Team,High School,Introvert,Analytical,Very High,Excellent,None,Exceptional,Data Scientist
Medicine,None,Office,Bachelors,Doer,Intuitive,Very High,Excellent,Visionary,Medium,Data Scientist
Science,None,Flexible,High School,Leader,Analytical,High,Average,Moderate,Medium,Data Scientist
Art,Intermediate,Remote,Masters,Leader,Practical,Very High,Poor,Collaborative,Exceptional,Graphic Designer
Science,Intermediate,Office,Masters,Leader,Creative,Medium,Poor,Collaborative,High,Software Engineer
Business,Expert,Team,Masters,Introvert,Logical,Very High,Average,Collaborative,High,Data Scientist
Science,Beginner,Office,Masters,Thinker,Logical,Medium,Outstanding,None,Low,Data Scientist
Business,Intermediate,Flexible,PhD,Thinker,Practical,None,Excellent,Strong,Low,Doctor
Medicine,Intermediate,Solo,PhD,Thinker,Creative,Medium,Excellent,Strong,Medium,Doctor
Technology,Intermediate,Team,High School,Thinker,Analytical,Medium,Fluent,Moderate,Exceptional,Graphic Designer
Technology,Expert,Flexible,High School,Introvert,Practical,Very High,Poor,Collaborative,Medium,Doctor
Business,None,Flexible,Masters,Introvert,Intuitive,High,Outstanding,Moderate,Exceptional,Graphic Designer
Business,Intermediate,Solo,High School,Extrovert,Creative,Medium,Average,Moderate,Low,Software Engineer
Medicine,Advanced,Remote,Diploma,Extrovert,Intuitive,Low,Average,Collaborative,Exceptional,Data Scientist
Technology,Beginner,Office,PhD,Introvert,Intuitive,None,Poor,Strong,Medium,Software Engineer
Art,None,Solo,PhD,Extrovert,Intuitive,Medium,Outstanding,Strong,Low,Graphic Designer
Science,None,Team,PhD,Thinker,Logical,High,Fluent,Collaborative,Low,Data Scientist
Technology,Advanced,Office,PhD,Leader,Analytical,High,Average,None,Very High,Doctor
Technology,Intermediate,Office,Masters,Introvert,Logical,Very High,Fluent,Visionary,Medium,Graphic Designer
Medicine,Advanced,Remote,PhD,Doer,Logical,Low,Outstanding,Strong,Very High,Data Scientist
Medicine,Advanced,Flexible,Bachelors,Introvert,Creative,None,Outstanding,None,Medium,Graphic Designer
Science,None,Flexible,Diploma,Introvert,Intuitive,None,Poor,Visionary,Very High,Graphic Designer
Technology,Expert,Solo,Diploma,Introvert,Practical,Low,Excellent,None,Exceptional,Data Scientist
Science,Expert,Office,Diploma,Introvert,Creative,Very High,Excellent,Strong,Medium,Software Engineer
Science,Advanced,Team,Masters,Thinker,Intuitive,High,Excellent,Visionary,High,Marketing Manager
Medicine,Beginner,Flexible,PhD,Extrovert,Practical,Very High,Average,Collaborative,Low,Doctor
Medicine,Expert,Team,Masters,Thinker,Logical,None,Poor,Collaborative,Exceptional,Marketing Manager
Medicine,None,Team,Diploma,Extrovert,Logical,High,Poor,None,Exceptional,Marketing Manager
Medicine,Beginner,Office,High School,Doer,Intuitive,Very High,Fluent,Strong,High,Doctor
Art,Advanced,Remote,Masters,Introvert,Analytical,Medium,Outstanding,None,Medium,Marketing Manager
Science,None,Solo,Bachelors,Doer,Creative,High,Fluent,None,Low,Doctor
Business,Expert,Office,PhD,Doer,Practical,None,Average,Visionary,Exceptional,Marketing Manager
Technology,None,Solo,Diploma,Doer,Practical,None,Fluent,Collaborative,Very High,Software Engineer
Art,Expert,Solo,High School,Thinker,Creative,High,Excellent,None,Low,Software Engineer
Medicine,Advanced,Remote,Diploma,Extrovert,Practical,Medium,Excellent,Strong,Low,Data Scientist
Business,Expert,Office,High School,Extrovert,Logical,High,Average,Collaborative,Exceptional,Graphic Designer
Technology,Beginner,Team,High School,Introvert,Logical,Medium,Outstanding,Strong,Medium,Software Engineer
Technology,None,Flexible,High School,Leader,Creative,Low,Excellent,Moderate,Very High,Graphic Designer
Technology,Beginner,Solo,High School,Leader,Practical,High,Average,Collaborative,Exceptional,Marketing Manager
Business,Advanced,Flexible,PhD,Extrovert,Analytical,None,Fluent,None,High,Software Engineer
Technology,Beginner,Office,Diploma,Introvert,Logical,High,Average,Visionary,Exceptional,Doctor
Business,None,Flexible,Diploma,Introvert,Practical,High,Excellent,Moderate,Exceptional,Marketing Manager
Science,Advanced,Flexible,High School,Thinker,Intuitive,Low,Average,Visionary,Medium,Software Engineer
Technology,Advanced,Flexible,Bachelors,Thinker,Creative,Very High,Fluent,None,Exceptional,Marketing Manager
Technology,None,Remote,PhD,Doer,Intuitive,Low,Poor,Strong,Low,Doctor
Art,Advanced,Remote,PhD,Doer,Analytical,High,Poor,None,Medium,Software Engineer
Art,Expert,Remote,PhD,Extrovert,Analytical,High,Outstanding,Strong,Very High,Doctor
Technology,Expert,Solo,High School,Doer,Analytical,Very High,Excellent,Visionary,High,Data Scientist
Business,None,Remote,Diploma,Leader,Intuitive,Very High,Average,Strong,High,Doctor
Business,Intermediate,Flexible,Bachelors,Thinker,Practical,Medium,Fluent,None,Low,Doctor
Business,None,Office,PhD,Leader,Creative,High,Fluent,Strong,Medium,Graphic Designer
Science,Advanced,Office,Diploma,Introvert,Creative,High,Average,None,Exceptional,Marketing Manager
Business,Intermediate,Team,High School,Introvert,Creative,Very High,Excellent,Collaborative,Very High,Software Engineer
Medicine,Intermediate,Flexible,PhD,Doer,Creative,Very High,Outstanding,Collaborative,Exceptional,Graphic Designer
Science,None,Flexible,Diploma,Introvert,Practical,None,Fluent,Moderate,High,Doctor
Science,Expert,Office,PhD,Extrovert,Intuitive,Medium,Poor,Strong,Medium,Doctor
Art,None,Office,Diploma,Doer,Logical,High,Poor,Strong,Low,Doctor
Medicine,Expert,Remote,PhD,Introvert,Analytical,None,Fluent,Visionary,High,Software Engineer
Business,Expert,Flexible,Masters,Introvert,Practical,None,Average,Collaborative,Very High,Doctor
Art,None,Remote,High School,Doer,Logical,None,Excellent,None,Exceptional,Data Scientist
Technology,None,Remote,Bachelors,Leader,Analytical,High,Poor,Visionary,High,Marketing Manager
Science,Intermediate,Remote,High School,Extrovert,Practical,Medium,Poor,Visionary,Exceptional,Doctor
Science,Intermediate,Team,Diploma,Leader,Analytical,Very High,Excellent,Moderate,Exceptional,Marketing Manager
Technology,Intermediate,Flexible,Bachelors,Thinker,Logical,Medium,Outstanding,None,High,Software Engineer
Technology,Expert,Office,PhD,Introvert,Analytical,Very High,Excellent,Collaborative,Low,Doctor
Technology,Intermediate,Office,Diploma,Thinker,Analytical,Very High,Poor,Moderate,Medium,Software Engineer
Technology,Beginner,Remote,Diploma,Extrovert,Intuitive,High,Fluent,Moderate,High,Software Engineer
Technology,None,Team,Diploma,Introvert,Practical,High,Excellent,None,Exceptional,Doctor
Business,Intermediate,Flexible,Diploma,Doer,Logical,None,Fluent,Strong,Exceptional,Data Scientist
Medicine,Advanced,Team,Masters,Doer,Logical,Very High,Fluent,None,Medium,Data Scientist
Medicine,Expert,Office,PhD,Doer,Creative,Medium,Outstanding,None,Very High,Data Scientist
Technology,Beginner,Office,Diploma,Thinker,Logical,Very High,Poor,Visionary,High,Doctor
Business,Intermediate,Solo,Diploma,Thinker,Logical,None,Average,Collaborative,Exceptional,Software Engineer
Medicine,Expert,Flexible,High School,Thinker,Creative,Medium,Poor,Collaborative,Very High,Doctor
Medicine,Expert,Solo,Bachelors,Introvert,Analytical,Medium,Poor,Moderate,High,Graphic Designer
Technology,Intermediate,Solo,Diploma,Extrovert,Intuitive,Low,Average,None,Low,Data Scientist
Technology,Expert,Office,High School,Extrovert,Intuitive,Low,Excellent,Visionary,Medium,Graphic Designer
Art,None,Flexible,Masters,Doer,Intuitive,Medium,Fluent,Strong,Exceptional,Doctor
Medicine,Beginner,Solo,Masters,Thinker,Intuitive,None,Average,Collaborative,Very High,Doctor
Art,Advanced,Remote,PhD,Introvert,Analytical,Very High,Excellent,Collaborative,Very High,Data Scientist
Business,Intermediate,Flexible,PhD,Leader,Creative,None,Poor,Strong,Medium,Software Engineer
Art,Advanced,Solo,Bachelors,Introvert,Analytical,Medium,Average,Moderate,Low,Doctor
Business,Expert,Remote,Diploma,Extrovert,Intuitive,None,Poor,None,Very High,Software Engineer
Business,Advanced,Office,Bachelors,Introvert,Logical,High,Outstanding,Visionary,Exceptional,Data Scientist
Art,Advanced,Team,High School,Doer,Logical,Very High,Outstanding,None,Exceptional,Graphic Designer
Art,Beginner,Remote,PhD,Introvert,Logical,Medium,Outstanding,Moderate,Very High,Data Scientist
Technology,Expert,Remote,Bachelors,Leader,Analytical,High,Outstanding,None,Medium,Marketing Manager
Medicine,Advanced,Solo,PhD,Extrovert,Analytical,Very High,Fluent,None,Very High,Data Scientist
Technology,Expert,Remote,Bachelors,Leader,Analytical,High,Poor,Moderate,Very High,Doctor
Business,None,Remote,PhD,Doer,Practical,Very High,Poor,Collaborative,Exceptional,Data Scientist
Science,Expert,Flexible,PhD,Extrovert,Creative,Low,Fluent,Collaborative,Exceptional,Marketing Manager
Business,Beginner,Remote,High School,Thinker,Creative,Low,Outstanding,None,Low,Graphic Designer
Medicine,Beginner,Flexible,PhD,Introvert,Intuitive,Very High,Average,None,Medium,Marketing Manager
Technology,Beginner,Flexible,High School,Leader,Analytical,Low,Excellent,Collaborative,Low,Software Engineer
Technology,None,Solo,High School,Extrovert,Practical,Medium,Fluent,Strong,Exceptional,Graphic Designer
Medicine,None,Office,High School,Doer,Logical,Very High,Excellent,Strong,High,Marketing Manager
Art,None,Solo,Diploma,Introvert,Logical,Very High,Average,None,Exceptional,Graphic Designer
Medicine,None,Flexible,High School,Extrovert,Intuitive,Medium,Excellent,Strong,Low,Graphic Designer
Business,Advanced,Office,Bachelors,Thinker,Creative,Low,Fluent,Collaborative,Exceptional,Graphic Designer
Technology,Intermediate,Office,High School,Introvert,Intuitive,High,Poor,Moderate,Exceptional,Marketing Manager
Medicine,None,Office,PhD,Leader,Creative,High,Average,Strong,High,Data Scientist
Art,None,Team,Bachelors,Extrovert,Intuitive,None,Fluent,None,Medium,Data Scientist
Art,Advanced,Remote,PhD,Introvert,Analytical,High,Fluent,Moderate,Medium,Doctor
Science,None,Remote,Diploma,Extrovert,Creative,Low,Average,Collaborative,Medium,Marketing Manager
Business,Intermediate,Solo,Diploma,Doer,Creative,Medium,Excellent,None,High,Data Scientist
Technology,Advanced,Team,Bachelors,Extrovert,Practical,Medium,Fluent,Collaborative,High,Doctor
Business,Expert,Team,High School,Introvert,Logical,High,Average,Visionary,Medium,Software Engineer
Science,Expert,Remote,High School,Thinker,Creative,High,Excellent,Collaborative,Very High,Marketing Manager
Art,Intermediate,Team,High School,Extrovert,Practical,Medium,Average,Moderate,Low,Graphic Designer
Art,Expert,Remote,High School,Doer,Practical,Medium,Excellent,Visionary,Medium,Software Engineer
Medicine,Beginner,Remote,Diploma,Doer,Creative,Very High,Excellent,Strong,High,Marketing Manager
Medicine,Expert,Team,Diploma,Leader,Logical,High,Outstanding,Visionary,Very High,Doctor
Art,Beginner,Office,Bachelors,Extrovert,Creative,Very High,Excellent,Strong,High,Doctor
Science,Intermediate,Flexible,PhD,Introvert,Practical,None,Outstanding,Collaborative,Very High,Doctor
Medicine,Intermediate,Team,Diploma,Doer,Intuitive,Very High,Poor,Strong,Exceptional,Doctor
Medicine,Expert,Remote,Bachelors,Extrovert,Intuitive,None,Fluent,Moderate,Low,Marketing Manager
Technology,Advanced,Remote,Masters,Introvert,Practical,None,Excellent,Collaborative,High,Doctor
Technology,None,Flexible,Masters,Leader,Intuitive,Medium,Poor,Strong,Medium,Doctor
Technology,Beginner,Office,Masters,Leader,Logical,High,Fluent,Moderate,Medium,Software Engineer
Business,Expert,Solo,High School,Leader,Intuitive,Medium,Poor,Visionary,High,Doctor
Art,Expert,Solo,PhD,Thinker,Creative,Medium,Average,Visionary,Low,Software Engineer
Art,Beginner,Solo,PhD,Thinker,Practical,Medium,Average,Visionary,Exceptional,Doctor
Medicine,Expert,Team,Bachelors,Doer,Logical,None,Poor,Visionary,Exceptional,Software Engineer
Science,None,Flexible,Diploma,Introvert,Analytical,Low,Average,None,Exceptional,Doctor
Art,Expert,Remote,Diploma,Doer,Practical,High,Outstanding,Strong,Exceptional,Doctor
Medicine,Beginner,Office,High School,Leader,Analytical,Medium,Fluent,Visionary,High,Doctor
Science,Beginner,Office,Diploma,Extrovert,Intuitive,Medium,Outstanding,Collaborative,Medium,Doctor
Medicine,Intermediate,Flexible,PhD,Thinker,Creative,None,Excellent,Visionary,High,Data Scientist
Business,Expert,Team,Masters,Leader,Practical,Very High,Outstanding,None,Low,Doctor
Art,Beginner,Office,Diploma,Introvert,Logical,Low,Poor,None,Very High,Graphic Designer
Technology,Beginner,Remote,High School,Introvert,Intuitive,High,Average,Strong,High,Marketing Manager
Art,None,Remote,Diploma,Doer,Practical,Low,Outstanding,Collaborative,Low,Graphic Designer
Business,Beginner,Solo,PhD,Introvert,Practical,Low,Average,Collaborative,Medium,Data Scientist
Art,Advanced,Office,Bachelors,Leader,Creative,Low,Outstanding,None,Exceptional,Data Scientist
Art,Intermediate,Team,Diploma,Introvert,Intuitive,Very High,Fluent,Visionary,Low,Doctor
Business,Intermediate,Remote,High School,Introvert,Practical,High,Outstanding,None,Exceptional,Doctor
Science,None,Solo,Bachelors,Introvert,Analytical,Medium,Poor,Collaborative,Very High,Graphic Designer
Art,Intermediate,Team,PhD,Leader,Analytical,Very High,Excellent,Moderate,Medium,Graphic Designer
Art,Expert,Remote,Diploma,Leader,Analytical,None,Poor,Collaborative,Very High,Graphic Designer
Technology,Advanced,Team,Diploma,Extrovert,Practical,Very High,Average,Collaborative,High,Graphic Designer
Science,Beginner,Remote,High School,Leader,Intuitive,None,Fluent,Strong,Medium,Data Scientist
Art,None,Solo,Masters,Leader,Practical,Very High,Outstanding,Strong,High,Doctor
Technology,None,Flexible,High School,Thinker,Analytical,Medium,Poor,Moderate,Medium,Data Scientist
Medicine,Beginner,Solo,Diploma,Leader,Intuitive,Medium,Fluent,Strong,Medium,Doctor
Art,Expert,Office,PhD,Leader,Practical,Medium,Average,Collaborative,Very High,Marketing Manager
Technology,Expert,Remote,Bachelors,Leader,Creative,Medium,Excellent,None,Exceptional,Data Scientist
Science,None,Team,PhD,Doer,Practical,Very High,Average,Collaborative,High,Graphic Designer
Art,Expert,Solo,High School,Doer,Intuitive,Very High,Excellent,Strong,Medium,Data Scientist
Art,None,Team,High School,Thinker,Creative,Low,Poor,Visionary,Medium,Marketing Manager
Art,Advanced,Solo,Diploma,Extrovert,Creative,Medium,Excellent,Visionary,Medium,Doctor
Business,Intermediate,Office,Bachelors,Leader,Analytical,Medium,Outstanding,Moderate,Low,Graphic Designer
Medicine,None,Flexible,Bachelors,Extrovert,Creative,Very High,Average,Strong,Medium,Marketing Manager
Medicine,Advanced,Team,Diploma,Introvert,Analytical,None,Excellent,None,Exceptional,Marketing Manager
Science,Beginner,Team,Diploma,Thinker,Intuitive,Medium,Poor,Strong,Low,Data Scientist
Business,Intermediate,Solo,PhD,Leader,Creative,Low,Excellent,Strong,Very High,Data Scientist
Business,Intermediate,Solo,High School,Doer,Intuitive,Low,Average,Strong,Exceptional,Marketing Manager
Art,None,Office,PhD,Leader,Analytical,Medium,Average,Strong,Exceptional,Data Scientist
Art,Beginner,Solo,Diploma,Extrovert,Creative,Low,Poor,Collaborative,Very High,Doctor
Technology,Intermediate,Solo,High School,Leader,Intuitive,Very High,Poor,Strong,Medium,Data Scientist
Medicine,Expert,Flexible,PhD,Leader,Creative,Low,Excellent,Moderate,High,Graphic Designer
Medicine,Intermediate,Flexible,Bachelors,Leader,Analytical,Very High,Poor,Collaborative,Low,Software Engineer
Medicine,Advanced,Flexible,PhD,Introvert,Creative,Very High,Outstanding,Collaborative,Low,Graphic Designer
Science,Expert,Remote,High School,Extrovert,Practical,None,Outstanding,Visionary,High,Marketing Manager
Medicine,Beginner,Remote,Diploma,Thinker,Logical,Medium,Outstanding,Collaborative,Low,Doctor
Technology,Beginner,Flexible,Diploma,Doer,Analytical,None,Average,None,High,Graphic Designer
Medicine,None,Solo,Bachelors,Extrovert,Logical,None,Fluent,None,High,Marketing Manager
Business,Beginner,Flexible,PhD,Leader,Creative,High,Outstanding,Collaborative,High,Marketing Manager
Business,Advanced,Remote,Diploma,Extrovert,Practical,Low,Outstanding,None,High,Data Scientist
Medicine,Beginner,Flexible,High School,Leader,Logical,Low,Outstanding,Moderate,Medium,Data Scientist
Science,Intermediate,Solo,High School,Introvert,Creative,Low,Average,Moderate,Medium,Graphic Designer
Medicine,Intermediate,Team,Bachelors,Introvert,Analytical,Low,Poor,Moderate,Very High,Doctor
Medicine,None,Office,High School,Thinker,Creative,None,Poor,Visionary,Very High,Marketing Manager
Medicine,Beginner,Remote,Diploma,Thinker,Creative,None,Outstanding,Moderate,High,Doctor
Medicine,Expert,Team,PhD,Thinker,Creative,High,Poor,None,Exceptional,Doctor
Technology,Advanced,Solo,Diploma,Introvert,Creative,High,Fluent,Strong,Low,Data Scientist
Medicine,Intermediate,Office,High School,Doer,Intuitive,Medium,Average,Strong,High,Doctor
Business,Beginner,Office,Diploma,Introvert,Creative,High,Average,Moderate,Very High,Data Scientist
Science,Expert,Remote,Masters,Introvert,Practical,Low,Fluent,Visionary,Low,Graphic Designer
Medicine,Intermediate,Team,Diploma,Introvert,Creative,Very High,Fluent,Moderate,Exceptional,Graphic Designer
Art,Advanced,Solo,Masters,Thinker,Creative,None,Excellent,Collaborative,Low,Software Engineer
Science,None,Team,Bachelors,Leader,Practical,Low,Poor,Collaborative,Medium,Software Engineer
Art,Beginner,Remote,PhD,Doer,Analytical,Very High,Fluent,Collaborative,Very High,Software Engineer
Business,Expert,Solo,Bachelors,Doer,Practical,Low,Excellent,Moderate,Low,Graphic Designer
Technology,Beginner,Remote,High School,Doer,Intuitive,Medium,Poor,None,Exceptional,Data Scientist
Technology,Beginner,Remote,PhD,Doer,Intuitive,Medium,Average,Moderate,Low,Software Engineer
Science,None,Remote,Diploma,Introvert,Creative,None,Fluent,None,Low,Data Scientist
Art,Advanced,Office,Bachelors,Introvert,Creative,Medium,Average,None,Medium,Marketing Manager
Medicine,Advanced,Solo,Masters,Thinker,Logical,Medium,Fluent,Strong,Low,Marketing Manager
Technology,Expert,Office,Masters,Introvert,Creative,None,Outstanding,None,Very High,Data Scientist
Art,Beginner,Remote,Bachelors,Thinker,Analytical,Medium,Poor,Strong,Very High,Doctor
Medicine,Beginner,Solo,High School,Extrovert,Practical,Low,Excellent,Collaborative,Low,Marketing Manager
Science,Intermediate,Remote,High School,Thinker,Analytical,Very High,Poor,None,Medium,Graphic Designer
Art,Advanced,Flexible,High School,Extrovert,Intuitive,Very High,Poor,None,Medium,Software Engineer
Science,Intermediate,Office,Bachelors,Leader,Logical,Medium,Fluent,Visionary,High,Data Scientist
Medicine,Expert,Flexible,High School,Extrovert,Creative,Medium,Outstanding,Visionary,High,Graphic Designer
Medicine,None,Remote,PhD,Extrovert,Intuitive,Very High,Poor,None,Low,Marketing Manager
Science,None,Team,Bachelors,Extrovert,Creative,Low,Excellent,Moderate,Very High,Data Scientist
Business,Advanced,Remote,Masters,Extrovert,Creative,Low,Average,Collaborative,High,Doctor
Science,None,Team,Bachelors,Leader,Intuitive,Very High,Outstanding,Visionary,Very High,Doctor
Technology,Beginner,Solo,Masters,Introvert,Intuitive,High,Fluent,Collaborative,Medium,Marketing Manager
Art,None,Office,PhD,Leader,Practical,Very High,Fluent,Strong,Very High,Software Engineer
Technology,Advanced,Flexible,Diploma,Thinker,Creative,Very High,Excellent,None,Very High,Software Engineer
Business,Expert,Office,Diploma,Thinker,Creative,None,Excellent,Strong,Medium,Software Engineer
Art,Expert,Remote,PhD,Doer,Logical,Very High,Average,None,Low,Doctor
Art,Advanced,Flexible,PhD,Doer,Intuitive,Medium,Outstanding,Moderate,Low,Data Scientist
Art,Beginner,Office,Diploma,Thinker,Intuitive,Low,Outstanding,Visionary,Low,Doctor
Art,None,Solo,PhD,Doer,Logical,Low,Outstanding,Visionary,Low,Graphic Designer
Medicine,Intermediate,Office,Diploma,Introvert,Analytical,Very High,Excellent,Strong,High,Data Scientist
Art,Beginner,Team,Masters,Leader,Intuitive,High,Poor,Collaborative,Very High,Data Scientist
Technology,None,Solo,Masters,Extrovert,Logical,Low,Average,Strong,Exceptional,Marketing Manager
Medicine,Expert,Solo,PhD,Doer,Creative,None,Outstanding,Collaborative,High,Doctor
Technology,Beginner,Flexible,Diploma,Introvert,Analytical,None,Outstanding,Moderate,Exceptional,Software Engineer
Technology,Expert,Office,PhD,Doer,Intuitive,None,Outstanding,Moderate,Low,Graphic Designer
Medicine,None,Office,PhD,Leader,Logical,None,Average,Strong,Low,Data Scientist
Business,Advanced,Flexible,High School,Introvert,Intuitive,Low,Fluent,Visionary,High,Software Engineer
Science,None,Flexible,Bachelors,Doer,Practical,Low,Poor,Visionary,Medium,Data Scientist
Science,Intermediate,Solo,Bachelors,Introvert,Logical,Very High,Excellent,Moderate,Very High,Marketing Manager
Technology,Intermediate,Flexible,Masters,Doer,Analytical,High,Poor,Moderate,High,Doctor
Business,Advanced,Office,Diploma,Introvert,Creative,Very High,Poor,None,Low,Graphic Designer
Science,Intermediate,Remote,High School,Extrovert,Analytical,Very High,Excellent,Collaborative,Exceptional,Marketing Manager
